date,business,acn,status,type,state,week,count
2020-03-27,Yansco Pty Ltd,130 185 027,In Liquidation,"NOTICE OF WINDING UP ORDER AND APPOINTMENT AS LIQUIDATOR/PROVISIONAL LIQUIDATOR
Subsection 465A(2)
Regulation 5.4.01B",Queensland,13,1
2020-03-27,All Vic Demolition & Excavation Pty. Ltd.,612 076 212,Registered,"NOTICE OF APPLICATION FOR WINDING UP ORDER
Paragraph 465A(1)(c)",Queensland,13,1
2020-03-27,Into Transport Pty Ltd,152 540 010,Registered,"NOTICE OF APPLICATION FOR WINDING UP ORDER
Paragraph 465A(1)(c)",Queensland,13,1
2020-03-27,Brizway Pty Ltd (In Liquidation),147 103 320,In Liquidation,"NOTICE OF WINDING UP ORDER AND APPOINTMENT AS LIQUIDATOR/PROVISIONAL LIQUIDATOR
Subsection 465A(2)
Regulation 5.4.01B",Queensland,13,1
2020-03-26,Mener Group Pty Ltd,161 232 408,In Liquidation,"NOTICE OF WINDING UP ORDER AND APPOINTMENT AS LIQUIDATOR/PROVISIONAL LIQUIDATOR
Subsection 465A(2)
Regulation 5.4.01B",Queensland,13,1
2020-03-26,MVS Sunshine Coast Pty Ltd,143 992 385,In Liquidation,"NOTICE OF WINDING UP ORDER AND APPOINTMENT AS LIQUIDATOR/PROVISIONAL LIQUIDATOR
Subsection 465A(2)
Regulation 5.4.01B",Queensland,13,1
2020-03-25,Aussie Rural Equipment Pty Ltd trading as Keidges Farm Machinery,166 677 550,In Liquidation,"NOTICE OF WINDING UP ORDER AND APPOINTMENT AS LIQUIDATOR/PROVISIONAL LIQUIDATOR
Subsection 465A(2)
Regulation 5.4.01B",Queensland,13,1
2020-03-24,Bramster Pty Ltd,629 813 047,In Liquidation,"NOTICE OF WINDING UP ORDER AND APPOINTMENT AS LIQUIDATOR/PROVISIONAL LIQUIDATOR
Subsection 465A(2)
Regulation 5.4.01B",Queensland,13,1
2020-03-24,Mind Power Technology Pty Ltd,600 460 044,In Liquidation,"NOTICE OF WINDING UP ORDER AND APPOINTMENT AS LIQUIDATOR/PROVISIONAL LIQUIDATOR
Subsection 465A(2)
Regulation 5.4.01B",Queensland,13,1
2020-03-24,JSL Group Pty Ltd (In Liquidation) trading as Barrelhouse Saloon and Eatery & Barrelhouse No. 7,166 332 770,In Liquidation,"NOTICE OF WINDING UP ORDER AND APPOINTMENT AS LIQUIDATOR/PROVISIONAL LIQUIDATOR
Subsection 465A(2)
Regulation 5.4.01B",Queensland,13,1
2020-03-24,JSL Group Pty Ltd (In Liquidation) trading as Barrelhouse Saloon and Eatery & Barrelhouse No. 7,166 332 770,In Liquidation,"NOTICE OF WINDING UP ORDER AND APPOINTMENT AS LIQUIDATOR/PROVISIONAL LIQUIDATOR
Subsection 465A(2)
Regulation 5.4.01B",Queensland,13,1
2020-03-23,National Painting Services Pty. Ltd.,079 288 752,Registered,"NOTICE OF APPLICATION FOR WINDING UP ORDER
Paragraph 465A(1)(c)",Queensland,13,1
2020-03-23,SHC Plumbing Group Pty Ltd,611 107 576,Registered,"NOTICE OF APPLICATION FOR WINDING UP ORDER
Paragraph 465A(1)(c)",Queensland,13,1
2020-03-20,Skypoint Towers Pty Ltd,167 719 959,In Liquidation,"NOTICE OF WINDING UP ORDER AND APPOINTMENT AS LIQUIDATOR/PROVISIONAL LIQUIDATOR
Subsection 465A(2)
Regulation 5.4.01B",Queensland,12,1
2020-03-20,Shmoopa Pty Ltd,108 897 990,In Liquidation,"NOTICE OF WINDING UP ORDER AND APPOINTMENT AS LIQUIDATOR/PROVISIONAL LIQUIDATOR
Subsection 465A(2)
Regulation 5.4.01B",Queensland,12,1
2020-03-20,Zebra Finance Pty Ltd,118 219 122,In Liquidation,"NOTICE OF WINDING UP ORDER AND APPOINTMENT AS LIQUIDATOR/PROVISIONAL LIQUIDATOR
Subsection 465A(2)
Regulation 5.4.01B",Queensland,12,1
2020-03-20,ICT Holdings Pty Ltd trading as Business Name: Century Civil & Comms,616 623 824,In Liquidation,"NOTICE OF WINDING UP ORDER AND APPOINTMENT AS LIQUIDATOR/PROVISIONAL LIQUIDATOR
Subsection 465A(2)
Regulation 5.4.01B",Queensland,12,1
